# timestamp tx ty tz qx qy qz qw
11344.935698 0.000000 0.000000 0.000000 -0.578866 0.362159 0.280344 0.674657
11344.969794 -0.010167 -0.068941 -0.012979 -0.581618 0.367547 0.277629 0.670486
11345.004686 -0.041447 -0.063320 0.055011 -0.586264 0.371621 0.274455 0.665483
11345.037527 -0.025463 0.011301 0.033761 -0.591696 0.374962 0.270424 0.660432
11345.074735 0.013495 0.083197 0.008097 -0.596611 0.379848 0.265074 0.655368
11345.101618 0.047537 0.163966 -0.020489 -0.598163 0.383967 0.263498 0.652180
11345.138132 0.077367 0.243053 -0.044278 -0.598780 0.387925 0.262478 0.649678
11345.173069 0.114309 0.314578 -0.066171 -0.598583 0.391206 0.262881 0.647727
11345.202508 0.156229 0.381790 -0.084563 -0.598701 0.393417 0.265584 0.645170
11345.236611 0.198738 0.447898 -0.094464 -0.600337 0.394312 0.270629 0.640994
11345.272314 0.228660 0.517253 -0.102212 -0.606464 0.390730 0.277564 0.634421
11345.306878 0.201936 0.453846 -0.125504 -0.614677 0.382577 0.285917 0.627741
11345.340825 0.234942 0.516464 -0.137325 0.622506 -0.374693 -0.295129 -0.620476
11345.374505 0.269838 0.573503 -0.160851 0.629718 -0.367572 -0.303065 -0.613595
11345.403357 0.328480 0.605908 -0.147696 0.634285 -0.362677 -0.308004 -0.609328
11345.437842 0.364331 0.641801 -0.189399 0.637497 -0.359500 -0.313127 -0.605234
11345.471889 0.404705 0.637655 -0.236690 0.640591 -0.357585 -0.316870 -0.601140
11345.502059 0.394131 0.694210 -0.249611 0.644879 -0.355073 -0.319550 -0.596609
11345.535350 0.358567 0.740354 -0.248984 0.650058 -0.348907 -0.324614 -0.591873
11345.570093 0.404355 0.734366 -0.283340 0.655759 -0.341423 -0.330725 -0.586542
11345.606617 0.442195 0.743246 -0.316204 0.662608 -0.331967 -0.338255 -0.579941
11345.633964 0.478480 0.748194 -0.341027 0.668419 -0.323281 -0.345036 -0.574156
11345.669929 0.513369 0.761880 -0.373149 0.675579 -0.310724 -0.354883 -0.566657
11345.704303 0.537484 0.794177 -0.409799 0.680667 -0.297585 -0.366083 -0.560463
11345.738412 0.589011 0.797208 -0.431564 0.683920 -0.283356 -0.376821 -0.556749
11345.773521 0.633010 0.811976 -0.465604 0.685070 -0.266919 -0.390453 -0.554057
11345.802777 0.642674 0.849412 -0.509189 0.683507 -0.254261 -0.403430 -0.552642
11345.836767 0.673574 0.878270 -0.550294 0.681226 -0.238990 -0.417330 -0.551952
11345.871786 0.700316 0.929612 -0.573264 0.682040 -0.224845 -0.427062 -0.549440
11345.902091 0.720347 0.982355 -0.591500 0.684935 -0.212689 -0.433636 -0.545515
11345.936415 0.733316 1.037829 -0.607341 0.691787 -0.200111 -0.437914 -0.538161
11345.973367 0.746466 1.094083 -0.620690 0.699492 -0.187293 -0.441854 -0.529525
11346.003636 0.749750 1.144316 -0.651711 0.703957 -0.177094 -0.446593 -0.523104
11346.035862 0.770913 1.185156 -0.688608 0.708679 -0.167148 -0.451119 -0.516068
11346.069612 0.794897 1.223196 -0.725652 0.712363 -0.157650 -0.457128 -0.508645
11346.104059 0.824055 1.252911 -0.765396 0.715857 -0.147394 -0.463472 -0.501016
11346.138318 0.854318 1.271959 -0.809957 0.719477 -0.136422 -0.470795 -0.492031
11346.173340 0.865972 1.226603 -0.777967 0.721656 -0.126839 -0.477728 -0.484665
11346.204131 0.873534 1.274127 -0.805809 0.723571 -0.118449 -0.484652 -0.476998
