# timestamp tx ty tz qx qy qz qw
10804.948828 0.000000 0.000000 0.000000 0.659451 -0.349305 -0.223352 -0.627076
10804.986750 0.002823 0.004787 -0.006255 0.658598 -0.349667 -0.222509 -0.628070
10805.018570 0.002137 0.011960 -0.011460 0.657626 -0.350398 -0.222265 -0.628767
10805.047658 0.007750 0.019308 -0.009723 0.656780 -0.351310 -0.222001 -0.629235
10805.081396 0.010729 0.028399 -0.009905 0.655708 -0.352302 -0.221743 -0.629889
10805.116054 0.011596 0.019010 -0.007514 0.654597 -0.353183 -0.221779 -0.630538
10805.150446 0.013448 0.028570 -0.008984 0.653384 -0.353604 -0.221988 -0.631486
10805.185633 0.018382 0.036673 -0.012044 0.652072 -0.353460 -0.222639 -0.632692
10805.215765 0.020722 0.045535 -0.007210 0.650934 -0.353413 -0.222927 -0.633788
10805.246872 0.021636 0.055877 -0.004397 0.649782 -0.353079 -0.224283 -0.634678
10805.280605 0.023478 0.066448 -0.000159 0.648751 -0.352319 -0.224970 -0.635911
10805.316986 0.024489 0.062937 -0.011921 0.647535 -0.351361 -0.226638 -0.637087
10805.351908 0.026946 0.064622 -0.024486 0.646576 -0.350026 -0.228634 -0.638082
10805.381367 0.028090 0.061622 -0.037608 0.645880 -0.348145 -0.230714 -0.639066
10805.415785 0.031906 0.073493 -0.044729 0.645743 -0.346001 -0.233473 -0.639367
10805.450350 0.037803 0.080364 -0.056949 0.645637 -0.343243 -0.236626 -0.639801
10805.483540 0.040582 0.080973 -0.072206 0.645680 -0.340243 -0.239468 -0.640302
10805.514238 0.044984 0.086616 -0.086326 0.646228 -0.337310 -0.241424 -0.640566
10805.547930 0.047078 0.090947 -0.101591 0.646765 -0.333745 -0.242897 -0.641335
10805.581588 0.051891 0.094227 -0.116685 0.646260 -0.330195 -0.244890 -0.642922
10805.616194 0.056601 0.092353 -0.133845 0.645402 -0.327363 -0.246698 -0.644539
10805.650329 0.062761 0.096713 -0.151941 -0.643748 0.324657 0.249548 0.646461
10805.685275 0.068187 0.099307 -0.170638 -0.642040 0.323003 0.252578 0.647811
10805.718254 0.069646 0.113065 -0.156648 -0.640685 0.322106 0.256027 0.648244
10805.752287 0.073616 0.119911 -0.177358 -0.638904 0.322231 0.260910 0.647992
10805.781457 0.067817 0.096147 -0.180530 -0.637303 0.322856 0.264789 0.647685
10805.813638 0.043529 0.097916 -0.168466 -0.635123 0.323782 0.269077 0.647596
10805.848241 0.067974 0.101030 -0.185021 -0.632615 0.324299 0.276206 0.646791
10805.881896 0.050379 0.114057 -0.164790 -0.631886 0.324256 0.278745 0.646436
10805.914686 0.066636 0.105964 -0.188275 -0.632073 0.322963 0.279672 0.646500
10805.951143 0.085164 0.105078 -0.208374 -0.632863 0.320916 0.280001 0.646604
10805.986015 0.100998 0.110059 -0.227086 -0.632974 0.318451 0.279924 0.647746
10806.015351 0.116157 0.106142 -0.246369 -0.633420 0.316526 0.279352 0.648500
10806.049471 0.130778 0.106232 -0.266235 -0.633953 0.314561 0.278054 0.649493
