# timestamp tx ty tz qx qy qz qw
15485.156804 0.000000 0.000000 0.000000 -0.240456 0.307262 0.439207 0.809239
15485.188408 0.020692 -0.023799 0.012730 -0.236585 0.304538 0.439918 0.811022
15485.222105 0.006059 0.006012 0.010303 -0.231325 0.302140 0.441300 0.812684
15485.232105 -0.018182 0.029659 0.009527 -0.229843 0.301243 0.441214 0.813483
15485.232105 -0.042511 0.052929 0.009727 -0.229885 0.301128 0.440170 0.814080
15485.232105 -0.064684 0.078488 0.011309 -0.229840 0.301084 0.439221 0.814621
15485.354643 -0.086214 0.103753 0.018394 -0.208494 0.291164 0.449101 0.818573
15485.390609 -0.117678 0.094229 0.009684 -0.199264 0.290078 0.452690 0.819280
15485.423328 -0.148540 0.080108 0.009316 -0.190501 0.289940 0.456636 0.819224
15485.453047 -0.178638 0.064568 0.009625 -0.182025 0.288788 0.460547 0.819368
15485.488690 -0.211388 0.055959 0.011928 -0.171307 0.287382 0.464249 0.820085
15485.523306 -0.242987 0.043632 0.009445 -0.161298 0.284340 0.467189 0.821504
15485.553217 -0.273247 0.030376 -0.000188 -0.152771 0.281795 0.469363 0.822770
15485.587331 -0.243648 0.048563 -0.000508 -0.144867 0.279860 0.473112 0.822713
15485.619209 -0.276015 0.038628 0.005435 -0.138085 0.280303 0.475666 0.822256
15485.652965 -0.305464 0.022425 0.014225 -0.133206 0.281343 0.478171 0.821252
15485.686604 -0.334031 0.004102 0.021825 -0.130794 0.281840 0.480829 0.819916
15485.720252 -0.307890 0.022759 0.008380 -0.129748 0.282945 0.483103 0.818364
15485.755211 -0.318240 0.007572 0.038200 -0.129884 0.284425 0.485471 0.816425
15485.789912 -0.327396 -0.009407 0.067690 -0.130995 0.285932 0.487623 0.814437
15485.823824 -0.332970 -0.008669 0.102791 -0.133044 0.287291 0.489704 0.812375
15485.852766 -0.349029 0.022716 0.109332 -0.134890 0.287846 0.492400 0.810242
15485.886905 -0.368194 0.052715 0.117575 -0.138005 0.288431 0.496059 0.807271
15485.923178 -0.382276 0.084999 0.129609 -0.141747 0.288837 0.499949 0.804072
15485.958197 -0.399183 0.114640 0.142675 -0.145507 0.289342 0.503238 0.801162
15485.985093 -0.417736 0.145190 0.145544 -0.148883 0.289735 0.505536 0.798950
15486.020445 -0.437723 0.168716 0.163171 -0.153327 0.290482 0.508223 0.796129
15486.054481 -0.451525 0.199770 0.174610 -0.157116 0.291076 0.510308 0.793836
15486.088783 -0.475785 0.226948 0.177440 -0.160336 0.291187 0.512729 0.791588
15486.121179 -0.506144 0.248474 0.176841 -0.162395 0.291173 0.515551 0.789337
15486.156124 -0.481144 0.221310 0.184527 -0.165910 0.290678 0.520350 0.785631
15486.191112 -0.452655 0.238158 0.165462 -0.171455 0.290952 0.522875 0.782657
15486.218261 -0.442911 0.236648 0.203309 -0.177514 0.291618 0.526161 0.778847
15486.254804 -0.429813 0.219447 0.236993 -0.187344 0.292451 0.531117 0.772845
15486.288870 -0.421007 0.201013 0.272234 -0.198252 0.293643 0.534002 0.767666
15486.323294 -0.418438 0.181283 0.308591 -0.208066 0.294948 0.537947 0.761792
15486.353800 -0.420144 0.149891 0.336796 -0.217206 0.296406 0.539499 0.757566
15486.389852 -0.405425 0.128641 0.371194 -0.223694 0.296206 0.541546 0.754288
15486.419500 -0.379603 0.115036 0.403631 -0.227832 0.295172 0.542375 0.752858
15486.453974 -0.339575 0.101408 0.390606 -0.230532 0.294864 0.542485 0.752077
15486.488285 -0.373606 0.106450 0.421929 -0.231323 0.295013 0.543097 0.751334
15486.523445 -0.411631 0.095826 0.441900 -0.229734 0.294416 0.544675 0.750913
15486.552912 -0.446778 0.084201 0.465000 -0.230792 0.294164 0.544474 0.750834
15486.587293 -0.479896 0.064954 0.487144 -0.230537 0.293156 0.546260 0.750009
15486.623357 -0.503810 0.040773 0.514764 -0.227852 0.291676 0.549677 0.748908
15486.657792 -0.535065 0.018179 0.536450 -0.225111 0.291373 0.551193 0.748741
15486.685701 -0.568720 0.001654 0.559114 -0.221954 0.291762 0.552171 0.748811
15486.721748 -0.601316 -0.022819 0.573955 -0.218118 0.292537 0.553670 0.748529
15486.756701 -0.628444 -0.044246 0.599867 -0.213481 0.294121 0.554864 0.748362
15486.786540 -0.602394 -0.011692 0.589237 -0.210141 0.295778 0.555015 0.748541
15486.819123 -0.578400 0.022965 0.586576 -0.207811 0.297404 0.554836 0.748681
15486.853486 -0.548151 0.042844 0.566389 -0.204644 0.298883 0.555900 0.748174
15486.889565 -0.575301 0.022413 0.588965 -0.202308 0.300240 0.556139 0.748089
