# timestamp tx ty tz qx qy qz qw
13505.088892 0.000000 0.000000 0.000000 -0.443324 0.393830 0.363547 0.718468
13505.124627 0.000095 -0.000031 0.000009 -0.443345 0.393841 0.363482 0.718481
13505.154694 0.000159 -0.000001 -0.000062 -0.443397 0.393816 0.363503 0.718452
13505.191836 0.000209 -0.000084 -0.000040 -0.443405 0.393816 0.363512 0.718443
13505.225500 0.000261 -0.000002 -0.000065 -0.443399 0.393846 0.363530 0.718421
13505.252345 0.000332 -0.000072 -0.000070 -0.443383 0.393867 0.363524 0.718422
13505.285976 0.000432 -0.000067 -0.000065 -0.443381 0.393858 0.363507 0.718437
13505.319572 0.000504 -0.000136 -0.000065 -0.443339 0.393852 0.363534 0.718453
13505.353333 0.000511 -0.000040 -0.000095 -0.443329 0.393857 0.363522 0.718462
13505.386932 0.000601 -0.000083 -0.000082 -0.443351 0.393878 0.363526 0.718435
13505.420664 0.000675 -0.000142 -0.000113 -0.443333 0.393867 0.363546 0.718442
13505.454255 0.000775 -0.000141 -0.000114 -0.443364 0.393888 0.363515 0.718427
13505.488289 0.000862 -0.000128 -0.000066 -0.443357 0.393887 0.363514 0.718432
13505.522686 0.000962 -0.000125 -0.000068 -0.443348 0.393895 0.363530 0.718426
13505.557946 0.001019 -0.000048 -0.000094 -0.443355 0.393877 0.363552 0.718420
13505.587745 0.001077 -0.000125 -0.000070 -0.443378 0.393877 0.363570 0.718396
13505.621694 0.001167 -0.000149 -0.000107 -0.443378 0.393869 0.363595 0.718389
13505.657434 0.001248 -0.000197 -0.000142 -0.443402 0.393874 0.363600 0.718368
13505.691828 0.001306 -0.000278 -0.000134 -0.443456 0.393825 0.363574 0.718375
13505.718959 0.001397 -0.000269 -0.000175 -0.443501 0.393831 0.363554 0.718354
13505.753100 0.001478 -0.000254 -0.000232 -0.443483 0.393850 0.363542 0.718361
13505.786900 0.001528 -0.000338 -0.000211 -0.443494 0.393870 0.363536 0.718346
13505.820837 0.001592 -0.000357 -0.000285 -0.443459 0.393897 0.363563 0.718339
13505.855559 0.001685 -0.000375 -0.000317 -0.443469 0.393893 0.363543 0.718346
13505.889576 0.001735 -0.000462 -0.000318 -0.443467 0.393877 0.363512 0.718371
13505.921198 0.001793 -0.000542 -0.000301 -0.443459 0.393859 0.363522 0.718381
13505.957841 0.001836 -0.000455 -0.000328 -0.443483 0.393898 0.363438 0.718387
13505.991619 0.001909 -0.000461 -0.000396 -0.443514 0.393927 0.363384 0.718379
13506.019738 0.001995 -0.000505 -0.000422 -0.443510 0.393897 0.363381 0.718399
13506.053381 0.002004 -0.000446 -0.000502 -0.443511 0.393910 0.363353 0.718406
13506.087143 0.002035 -0.000538 -0.000478 -0.443516 0.393920 0.363382 0.718383
13506.120932 0.002115 -0.000515 -0.000421 -0.443469 0.393933 0.363415 0.718389
13506.156412 0.002170 -0.000507 -0.000504 -0.443415 0.394015 0.363365 0.718401
13506.190977 0.002250 -0.000557 -0.000536 -0.443422 0.393990 0.363358 0.718414
13506.223186 0.002319 -0.000504 -0.000585 -0.443363 0.393973 0.363403 0.718437
13506.257714 0.002347 -0.000490 -0.000681 -0.443402 0.393965 0.363372 0.718434
13506.286884 0.002418 -0.000505 -0.000749 -0.443382 0.393950 0.363400 0.718440
13506.323401 0.002466 -0.000440 -0.000690 -0.443425 0.393925 0.363397 0.718429
13506.353373 0.002553 -0.000445 -0.000640 -0.443450 0.393948 0.363355 0.718422
13506.387303 0.002641 -0.000475 -0.000677 -0.443419 0.393961 0.363399 0.718412
13506.422439 0.002726 -0.000512 -0.000712 -0.443421 0.393976 0.363413 0.718395
13506.457381 0.002767 -0.000473 -0.000795 -0.443365 0.393974 0.363484 0.718395
13506.487803 0.002865 -0.000492 -0.000799 -0.443359 0.393946 0.363512 0.718400
13506.522568 0.002918 -0.000489 -0.000884 -0.443410 0.393870 0.363503 0.718415
13506.558450 0.002994 -0.000542 -0.000921 -0.443411 0.393883 0.363515 0.718401
13506.585305 0.003093 -0.000556 -0.000917 -0.443418 0.393880 0.363498 0.718407
13506.618943 0.003170 -0.000607 -0.000955 -0.443417 0.393895 0.363497 0.718400
13506.652599 0.003265 -0.000637 -0.000961 -0.443437 0.393906 0.363487 0.718386
13506.686850 0.003303 -0.000545 -0.000967 -0.443434 0.393901 0.363499 0.718384
13506.720513 0.003389 -0.000570 -0.001011 -0.443386 0.393859 0.363539 0.718417
13506.752832 0.003387 -0.000485 -0.001063 -0.443361 0.393869 0.363534 0.718429
13506.787785 0.003443 -0.000503 -0.001144 -0.443312 0.393851 0.363549 0.718462
13506.821617 0.003443 -0.000456 -0.001232 -0.443324 0.393847 0.363523 0.718470
13506.857261 0.003538 -0.000488 -0.001235 -0.443359 0.393800 0.363522 0.718475
13506.886634 0.003578 -0.000411 -0.001285 -0.443376 0.393806 0.363525 0.718459
13506.922551 0.003611 -0.000494 -0.001240 -0.443417 0.393777 0.363549 0.718438
13506.952949 0.003660 -0.000582 -0.001235 -0.443453 0.393809 0.363534 0.718406
13506.986570 0.003711 -0.000664 -0.001210 -0.443409 0.393847 0.363550 0.718404
13507.020545 0.003749 -0.000692 -0.001298 -0.443444 0.393872 0.363549 0.718369
13507.056031 0.003814 -0.000693 -0.001374 -0.443419 0.393829 0.363567 0.718399
13507.085713 0.003873 -0.000774 -0.001370 -0.443873 0.393700 0.363392 0.718278
13507.120243 0.003957 -0.000722 -0.001387 -0.443907 0.393673 0.363360 0.718288
13507.154317 0.004054 -0.000709 -0.001405 -0.443876 0.393626 0.363468 0.718278
13507.185534 0.004108 -0.000684 -0.001486 -0.443885 0.393598 0.363460 0.718292
13507.219207 0.004190 -0.000726 -0.001524 -0.443827 0.393600 0.363513 0.718300
13507.254077 0.004261 -0.000796 -0.001533 -0.443816 0.393641 0.363552 0.718265
13507.288200 0.004311 -0.000713 -0.001558 -0.443806 0.393737 0.363489 0.718250
13507.323752 0.004395 -0.000736 -0.001606 -0.443770 0.393689 0.363512 0.718287
13507.353788 0.004476 -0.000786 -0.001638 -0.443759 0.393697 0.363529 0.718281
13507.389963 0.004507 -0.000695 -0.001666 -0.443751 0.393697 0.363474 0.718314
13507.418455 0.004601 -0.000714 -0.001692 -0.443726 0.393651 0.363513 0.718334
13507.457048 0.004682 -0.000758 -0.001732 -0.443727 0.393637 0.363462 0.718367
13507.486317 0.004671 -0.000677 -0.001790 -0.443789 0.393618 0.363435 0.718354
13507.521774 0.004718 -0.000692 -0.001877 -0.443809 0.393647 0.363412 0.718337
13507.556742 0.004780 -0.000771 -0.001871 -0.443802 0.393709 0.363397 0.718314
13507.587817 0.004778 -0.000691 -0.001931 -0.443789 0.393679 0.363435 0.718320
13507.621567 0.004805 -0.000783 -0.001904 -0.443809 0.393707 0.363454 0.718282
13507.656009 0.004854 -0.000822 -0.001982 -0.443771 0.393701 0.363447 0.718313
13507.689889 0.004953 -0.000814 -0.001985 -0.443767 0.393634 0.363476 0.718337
13507.719007 0.005025 -0.000877 -0.002016 -0.443775 0.393660 0.363457 0.718327
13507.755903 0.005104 -0.000936 -0.001999 -0.443731 0.393626 0.363468 0.718368
13507.791175 0.005178 -0.000993 -0.002033 -0.443715 0.393621 0.363514 0.718358
13507.818498 0.005273 -0.000963 -0.002043 -0.443721 0.393660 0.363512 0.718333
13507.852125 0.005320 -0.000982 -0.002129 -0.443689 0.393644 0.363486 0.718375
13507.885821 0.005408 -0.001019 -0.002159 -0.443697 0.393668 0.363468 0.718366
13507.919777 0.005493 -0.000968 -0.002175 -0.443680 0.393687 0.363446 0.718377
13507.953363 0.005589 -0.000970 -0.002202 -0.443673 0.393686 0.363445 0.718382
13507.987765 0.005636 -0.001055 -0.002178 -0.443711 0.393636 0.363459 0.718379
13508.022099 0.005687 -0.001029 -0.002260 -0.443721 0.393681 0.363428 0.718364
13508.056363 0.005772 -0.001079 -0.002245 -0.443753 0.393702 0.363397 0.718349
13508.089929 0.005843 -0.001048 -0.002308 -0.443746 0.393702 0.363396 0.718354
13508.124277 0.005939 -0.001075 -0.002301 -0.443745 0.393722 0.363394 0.718344
13508.151183 0.006035 -0.001047 -0.002305 -0.443779 0.393748 0.363380 0.718316
13508.189767 0.006064 -0.000990 -0.002229 -0.443768 0.393753 0.363362 0.718330
13508.222747 0.006082 -0.001070 -0.002173 -0.443737 0.393736 0.363386 0.718345
13508.252851 0.006142 -0.001149 -0.002158 -0.443725 0.393728 0.363436 0.718332
13508.286324 0.006226 -0.001097 -0.002174 -0.443715 0.393712 0.363436 0.718347
13508.322288 0.006200 -0.001107 -0.002270 -0.443684 0.393680 0.363458 0.718372
13508.357395 0.006259 -0.001104 -0.002350 -0.443691 0.393686 0.363452 0.718368
13508.389217 0.006329 -0.001173 -0.002330 -0.443652 0.393670 0.363439 0.718407
13508.420915 0.006324 -0.001077 -0.002359 -0.443688 0.393648 0.363389 0.718422
13508.454907 0.006413 -0.001034 -0.002373 -0.443663 0.393655 0.363422 0.718417
13508.489668 0.006492 -0.001034 -0.002434 -0.443620 0.393648 0.363450 0.718434
13508.522817 0.006471 -0.000937 -0.002433 -0.443613 0.393677 0.363418 0.718438
13508.552052 0.006549 -0.000997 -0.002415 -0.443600 0.393663 0.363405 0.718461
13508.586137 0.006623 -0.000946 -0.002458 -0.443600 0.393675 0.363375 0.718469
13508.622256 0.006722 -0.000930 -0.002463 -0.443611 0.393675 0.363386 0.718457
13508.650820 0.006782 -0.001010 -0.002462 -0.444014 0.393559 0.363262 0.718334
13508.685172 0.006860 -0.001071 -0.002473 -0.444030 0.393543 0.363238 0.718345
13508.718825 0.006916 -0.001153 -0.002459 -0.444012 0.393532 0.363258 0.718352
13508.752469 0.006979 -0.001176 -0.002534 -0.443963 0.393519 0.363307 0.718365
13508.786422 0.007066 -0.001214 -0.002564 -0.443989 0.393550 0.363295 0.718337
13508.820524 0.007160 -0.001180 -0.002575 -0.443955 0.393528 0.363291 0.718373
13508.854911 0.007234 -0.001191 -0.002641 -0.443954 0.393568 0.363264 0.718365
13508.889614 0.007315 -0.001188 -0.002700 -0.443929 0.393536 0.363233 0.718414
13508.919938 0.007397 -0.001137 -0.002724 -0.443931 0.393521 0.363205 0.718435
13508.954264 0.007441 -0.001115 -0.002811 -0.443910 0.393549 0.363198 0.718436
13508.989018 0.007485 -0.001029 -0.002838 -0.443908 0.393569 0.363144 0.718454
13509.022846 0.007493 -0.000969 -0.002758 -0.443918 0.393565 0.363165 0.718439
13509.052467 0.007562 -0.000988 -0.002828 -0.443936 0.393586 0.363157 0.718420
13509.090345 0.007658 -0.000964 -0.002841 -0.443935 0.393541 0.363170 0.718439
13509.122380 0.007726 -0.001032 -0.002866 -0.443911 0.393544 0.363193 0.718441
13509.151332 0.007815 -0.001041 -0.002911 -0.443926 0.393506 0.363171 0.718463
13509.184922 0.007860 -0.000966 -0.002861 -0.443930 0.393516 0.363150 0.718466
13509.218990 0.007938 -0.001028 -0.002853 -0.443943 0.393529 0.363129 0.718461
13509.254077 0.008037 -0.001013 -0.002859 -0.443944 0.393576 0.363058 0.718471
13509.289328 0.008053 -0.001009 -0.002958 -0.443970 0.393576 0.363027 0.718470
13509.321334 0.008094 -0.001024 -0.003048 -0.444039 0.393555 0.362996 0.718455
13509.352982 0.008173 -0.001048 -0.003105 -0.444044 0.393581 0.363006 0.718433
13509.389093 0.008271 -0.001067 -0.003099 -0.444025 0.393606 0.363012 0.718428
13509.417707 0.008332 -0.001011 -0.003155 -0.444007 0.393575 0.363000 0.718462
13509.451422 0.008401 -0.001026 -0.003225 -0.443977 0.393554 0.362990 0.718497
13509.488209 0.008500 -0.001027 -0.003239 -0.443958 0.393574 0.362976 0.718504
13509.518204 0.008579 -0.001078 -0.003273 -0.443947 0.393609 0.362965 0.718498
13509.553065 0.008675 -0.001106 -0.003264 -0.443982 0.393595 0.362930 0.718502
13509.587206 0.008765 -0.001147 -0.003277 -0.443978 0.393620 0.362912 0.718500
13509.623336 0.008833 -0.001105 -0.003217 -0.444020 0.393626 0.362875 0.718489
13509.657022 0.008884 -0.001190 -0.003201 -0.444018 0.393616 0.362855 0.718506
13509.685690 0.008980 -0.001163 -0.003209 -0.444013 0.393615 0.362854 0.718510
13509.720285 0.009060 -0.001222 -0.003223 -0.444047 0.393595 0.362893 0.718480
13509.754895 0.009137 -0.001226 -0.003286 -0.444020 0.393568 0.362899 0.718509
13509.789405 0.009194 -0.001307 -0.003273 -0.443982 0.393623 0.362878 0.718512
13509.820834 0.009222 -0.001353 -0.003358 -0.444027 0.393598 0.362832 0.718522
13509.854642 0.009306 -0.001378 -0.003406 -0.444035 0.393598 0.362840 0.718513
13509.885480 0.009406 -0.001377 -0.003407 -0.444079 0.393617 0.362821 0.718484
13509.919618 0.009436 -0.001331 -0.003490 -0.444080 0.393629 0.362792 0.718492
13509.950450 0.009411 -0.001238 -0.003519 -0.444091 0.393652 0.362786 0.718476
13509.984021 0.009488 -0.001177 -0.003538 -0.444146 0.393659 0.362711 0.718476
13510.017926 0.009509 -0.001250 -0.003473 -0.444145 0.393627 0.362721 0.718489
13510.051929 0.009586 -0.001271 -0.003532 -0.444147 0.393581 0.362749 0.718499
13510.085825 0.009572 -0.001298 -0.003627 -0.444183 0.393578 0.362698 0.718504
13510.119935 0.009557 -0.001203 -0.003657 -0.444154 0.393587 0.362707 0.718513
13510.154124 0.009654 -0.001224 -0.003651 -0.444179 0.393579 0.362667 0.718522
13510.186842 0.009695 -0.001165 -0.003720 -0.444173 0.393602 0.362641 0.718525
13510.220815 0.009794 -0.001182 -0.003715 -0.444170 0.393567 0.362689 0.718523
13510.254804 0.009836 -0.001194 -0.003805 -0.444175 0.393571 0.362643 0.718541
13510.288721 0.009896 -0.001130 -0.003757 -0.444128 0.393548 0.362671 0.718568
13510.318218 0.009990 -0.001142 -0.003787 -0.444109 0.393551 0.362652 0.718588
13510.352202 0.010082 -0.001103 -0.003791 -0.444096 0.393513 0.362625 0.718630
13510.388221 0.010122 -0.001113 -0.003882 -0.444092 0.393540 0.362607 0.718627
13510.417799 0.010212 -0.001071 -0.003893 -0.444104 0.393531 0.362554 0.718651
13510.451681 0.010308 -0.001094 -0.003876 -0.444122 0.393538 0.362541 0.718643
13510.485599 0.010301 -0.001077 -0.003974 -0.444147 0.393555 0.362516 0.718630
13510.519580 0.010378 -0.001025 -0.004011 -0.444135 0.393565 0.362535 0.718623
13510.553801 0.010469 -0.001066 -0.004003 -0.444123 0.393552 0.362521 0.718645
13510.588527 0.010510 -0.001007 -0.004073 -0.444105 0.393572 0.362508 0.718652
13510.618695 0.010584 -0.001054 -0.004026 -0.444086 0.393566 0.362512 0.718664
13510.655465 0.010552 -0.000960 -0.004030 -0.444124 0.393584 0.362495 0.718640
13510.689970 0.010588 -0.000995 -0.004116 -0.444169 0.393611 0.362459 0.718615
