# timestamp tx ty tz qx qy qz qw
14585.096080 0.000000 0.000000 0.000000 -0.298434 0.257676 0.403881 0.825482
14585.129750 0.026559 0.001223 -0.011973 -0.302635 0.254798 0.404520 0.824532
14585.166405 0.051277 0.006497 -0.001982 -0.308175 0.252502 0.405141 0.822880
14585.181405 0.075849 0.003623 0.002800 -0.311028 0.250813 0.405011 0.822387
14585.181405 0.099726 0.006786 0.005657 -0.311547 0.250252 0.405146 0.822295
14585.181405 0.122961 0.008666 0.005363 -0.312325 0.249285 0.405752 0.821995
14585.302940 0.130502 -0.009345 -0.009025 -0.325628 0.245807 0.404778 0.818352
14585.329774 0.126588 0.010885 0.005478 -0.318988 0.253855 0.401413 0.820165
14585.364259 0.140751 0.000600 -0.015313 -0.308482 0.266308 0.396778 0.822488
14585.398320 0.134441 0.007466 0.012314 -0.298049 0.280538 0.389950 0.824866
14585.433091 0.134799 0.034175 0.034608 -0.288598 0.292446 0.382779 0.827446
14585.462940 0.164451 0.046507 0.010052 -0.283012 0.301401 0.377097 0.828770
14585.497239 0.206583 0.071503 -0.021068 -0.279219 0.310249 0.371073 0.829511
14585.534319 0.266207 0.094855 -0.048006 -0.276939 0.317697 0.366133 0.829651
14585.562113 0.311486 0.142142 -0.069252 -0.275511 0.321409 0.364209 0.829543
14585.595809 0.363836 0.178279 -0.093825 -0.275149 0.324556 0.362251 0.829295
14585.629379 0.408109 0.216988 -0.104988 -0.275223 0.326308 0.360543 0.829328
14585.662583 0.449619 0.247491 -0.106173 -0.275802 0.326984 0.359382 0.829373
14585.696670 0.485957 0.275652 -0.105596 -0.276113 0.326206 0.357629 0.830333
14585.731289 0.500068 0.308557 -0.086823 -0.277359 0.324563 0.356338 0.831116
14585.763318 0.506730 0.347015 -0.077310 -0.277675 0.320885 0.355771 0.832681
14585.799551 0.494253 0.312837 -0.093732 -0.276891 0.315268 0.356304 0.834856
14585.828945 0.482671 0.290918 -0.117941 -0.275243 0.309633 0.357949 0.836804
14585.863009 0.464228 0.277954 -0.150883 -0.273673 0.302212 0.359711 0.839273
14585.897306 0.458744 0.261818 -0.187262 -0.273099 0.293715 0.361102 0.841875
14585.931498 0.443702 0.242282 -0.219299 -0.271719 0.286005 0.362511 0.844367
14585.963514 0.435746 0.224365 -0.255728 -0.269946 0.279508 0.363427 0.846715
14585.998172 0.434961 0.216328 -0.295340 -0.267860 0.273229 0.364736 0.848861
14586.033138 0.433547 0.213416 -0.335382 -0.264975 0.267731 0.367758 0.850213
14586.062753 0.425098 0.183720 -0.361479 -0.263107 0.263689 0.369840 0.851153
14586.098844 0.437636 0.212122 -0.335985 -0.263367 0.259237 0.370119 0.852318
14586.133139 0.440226 0.193351 -0.371119 -0.264900 0.256523 0.368253 0.853471
14586.163561 0.476069 0.188662 -0.385869 -0.267446 0.256177 0.363694 0.854735
14586.198728 0.513269 0.182862 -0.392129 -0.271310 0.256830 0.356101 0.856517
14586.233167 0.551966 0.178656 -0.395150 -0.273933 0.258491 0.348019 0.858502
14586.262695 0.575846 0.152530 -0.413608 -0.274614 0.262566 0.339902 0.860298
14586.300883 0.571302 0.191091 -0.417694 -0.275859 0.269511 0.326619 0.862894
14586.327767 0.560582 0.228046 -0.407067 -0.275118 0.276214 0.320126 0.863444
14586.362197 0.548942 0.264491 -0.394816 -0.274341 0.284437 0.312153 0.863940
14586.396212 0.544891 0.303249 -0.384059 -0.274613 0.292314 0.304038 0.864119
14586.431348 0.556790 0.266207 -0.398115 -0.275749 0.301168 0.293731 0.864281
14586.466158 0.564644 0.227079 -0.412166 -0.276070 0.310467 0.284888 0.863849
14586.494855 0.550126 0.266467 -0.400155 -0.274266 0.318679 0.280567 0.862847
14586.530684 0.549708 0.309514 -0.386992 -0.272927 0.327452 0.277165 0.861084
14586.566499 0.552380 0.353306 -0.376564 -0.270850 0.333643 0.277690 0.859192
14586.598417 0.557108 0.397063 -0.367105 -0.268731 0.338158 0.281789 0.856754
14586.632000 0.539182 0.357594 -0.361877 -0.267065 0.341321 0.286613 0.854418
14586.663405 0.520655 0.325926 -0.340806 -0.266586 0.343838 0.292145 0.851680
14586.699589 0.505019 0.314620 -0.304213 -0.266936 0.347078 0.298602 0.848009
14586.733574 0.493149 0.302605 -0.267483 -0.267080 0.350410 0.304669 0.844428
14586.761582 0.479250 0.281619 -0.236174 -0.266503 0.352092 0.308804 0.842406
14586.798021 0.465440 0.253167 -0.211818 -0.264610 0.354467 0.314017 0.840076
14586.828290 0.445954 0.219335 -0.211652 -0.262878 0.356177 0.317201 0.838700
14586.862528 0.430937 0.184311 -0.213760 -0.261576 0.357168 0.318323 0.838260
14586.897681 0.447959 0.215175 -0.227999 -0.261330 0.358479 0.317869 0.837949
14586.933447 0.455037 0.178905 -0.236242 -0.261523 0.360100 0.316277 0.837796
14586.960318 0.491872 0.176074 -0.233040 -0.261906 0.359945 0.314287 0.838492
14586.995082 0.515981 0.157470 -0.213280 -0.262170 0.358620 0.313320 0.839339
14587.028785 0.537628 0.148943 -0.190100 -0.262089 0.355828 0.313744 0.840393
14587.062508 0.540944 0.121024 -0.181571 -0.261600 0.352167 0.316727 0.840968
14587.096585 0.533188 0.097479 -0.200389 -0.261771 0.347924 0.318646 0.841956
14587.130046 0.512906 0.074030 -0.207799 -0.263973 0.344965 0.318015 0.842724
14587.164940 0.489058 0.072060 -0.188117 -0.265060 0.344034 0.318183 0.842700
14587.199390 0.484819 0.089992 -0.164327 -0.263397 0.343346 0.322172 0.841986
14587.233368 0.471084 0.064465 -0.157699 -0.262042 0.342319 0.327525 0.840761
14587.260247 0.491328 0.083463 -0.169307 -0.261708 0.340574 0.332710 0.839537
14587.299641 0.472746 0.079929 -0.145289 -0.262112 0.337501 0.341069 0.837295
14587.331209 0.451880 0.070167 -0.124469 -0.264335 0.334844 0.346219 0.835547
14587.365517 0.433859 0.061044 -0.100345 -0.267510 0.331445 0.352630 0.833207
14587.395069 0.417154 0.058070 -0.073359 -0.270120 0.327548 0.358932 0.831213
14587.432177 0.397471 0.047323 -0.050016 -0.272778 0.323375 0.367060 0.828425
14587.461394 0.378521 0.037436 -0.025050 -0.274538 0.320982 0.372896 0.826165
14587.497583 0.360460 0.027854 0.002842 -0.275593 0.318078 0.380379 0.823521
14587.526905 0.339882 0.012404 0.028448 -0.276342 0.316277 0.384887 0.821867
14587.561588 0.321088 -0.014123 0.046285 -0.277336 0.314858 0.389545 0.819880
14587.595247 0.303633 -0.009584 0.079577 -0.278420 0.313452 0.393409 0.818205
14587.630742 0.318981 -0.010595 0.045835 -0.280066 0.311755 0.396585 0.816757
14587.665821 0.334654 -0.013179 0.013192 -0.281883 0.309826 0.398639 0.815866
14587.695690 0.337789 -0.046425 0.004197 -0.282233 0.307383 0.401385 0.815323
14587.731737 0.329667 -0.077598 0.010707 -0.283004 0.304366 0.403583 0.815102
14587.766822 0.349408 -0.073399 -0.015030 -0.285816 0.302305 0.404066 0.814648
14587.793633 0.355253 -0.063530 0.015430 -0.288128 0.301418 0.403105 0.814639
14587.828597 0.386243 -0.063179 0.006651 -0.290536 0.300006 0.401711 0.814993
14587.862218 0.413840 -0.048482 0.000441 -0.291220 0.297297 0.402471 0.815367
14587.896382 0.428436 -0.020822 0.003880 -0.290939 0.293546 0.403154 0.816488
14587.930522 0.437542 0.008860 0.003381 -0.290557 0.289145 0.404025 0.817763
14587.965523 0.452088 0.026640 -0.017408 -0.290580 0.284303 0.404457 0.819237
14587.995177 0.474652 0.037088 -0.035772 -0.291005 0.280564 0.404054 0.820573
14588.031284 0.497121 0.053229 -0.048617 -0.291629 0.276781 0.403303 0.822004
14588.065566 0.511689 0.079347 -0.045290 -0.290999 0.273591 0.404194 0.822858
14588.094735 0.499270 0.079047 -0.018273 -0.290115 0.272754 0.403140 0.823964
14588.129358 0.514794 0.093504 -0.039112 -0.287027 0.275120 0.399374 0.826090
14588.163263 0.530027 0.104712 -0.063043 -0.280069 0.280557 0.394792 0.828847
14588.197303 0.545398 0.119312 -0.085636 -0.270273 0.287965 0.389184 0.832204
14588.227610 0.560234 0.124434 -0.112905 -0.261072 0.297476 0.383417 0.834470
14588.261926 0.578330 0.132906 -0.138172 -0.251306 0.309328 0.376870 0.836140
14588.296285 0.597432 0.142089 -0.162429 -0.243755 0.321372 0.369576 0.837088
14588.331530 0.590316 0.116643 -0.180855 -0.237556 0.334036 0.360547 0.837850
14588.361183 0.610819 0.125008 -0.204249 -0.230976 0.343000 0.355275 0.838320
14588.395596 0.632048 0.134081 -0.226713 -0.223826 0.350739 0.349764 0.839374
14588.432329 0.644871 0.160564 -0.213603 -0.220652 0.359323 0.340081 0.840562
14588.466327 0.661612 0.182716 -0.229933 -0.220065 0.366217 0.331365 0.841222
