# timestamp tx ty tz qx qy qz qw
13685.072785 0.000000 0.000000 0.000000 -0.422469 0.358578 0.368265 0.746540
13685.108456 0.018082 -0.002578 -0.009982 -0.424289 0.357931 0.369205 0.745353
13685.139003 0.034113 0.003108 -0.021162 -0.425574 0.357645 0.370084 0.744321
13685.175176 0.044612 0.019855 -0.023400 -0.427081 0.357278 0.370674 0.743341
13685.210315 0.061862 0.021244 -0.033058 -0.427894 0.356867 0.371068 0.742873
13685.237156 0.069485 0.004754 -0.041163 -0.427690 0.357396 0.370703 0.742919
13685.271236 0.086364 0.003969 -0.052510 -0.426920 0.358289 0.369954 0.743306
13685.304925 0.091526 -0.014463 -0.060687 -0.426171 0.359655 0.368069 0.744011
13685.338559 0.098602 -0.034837 -0.070023 -0.425805 0.360861 0.366241 0.744538
13685.372169 0.100717 -0.042752 -0.094899 -0.426007 0.361547 0.364852 0.744772
13685.406130 0.110424 -0.065970 -0.112096 -0.427013 0.361234 0.363894 0.744816
13685.440736 0.118147 -0.077016 -0.089641 -0.429634 0.359205 0.362094 0.745167
13685.475864 0.128230 -0.066739 -0.068287 -0.431275 0.358160 0.362360 0.744593
13685.509185 0.139866 -0.089205 -0.067347 -0.432774 0.357735 0.363183 0.743526
13685.538730 0.151926 -0.069815 -0.070612 -0.433416 0.357706 0.364655 0.742444
13685.573348 0.159334 -0.050625 -0.067429 -0.433622 0.357684 0.366727 0.741314
13685.609703 0.166230 -0.031506 -0.061421 -0.433414 0.356989 0.368565 0.740858
13685.643388 0.154814 -0.049135 -0.066354 -0.432665 0.356422 0.370281 0.740714
13685.670452 0.157528 -0.026159 -0.062551 -0.432592 0.355432 0.372421 0.740158
13685.704275 0.169914 -0.007306 -0.052661 -0.432308 0.354555 0.374371 0.739761
13685.738075 0.170411 -0.030558 -0.058766 -0.432142 0.353364 0.376384 0.739407
13685.771731 0.173964 -0.010308 -0.047467 -0.432386 0.351850 0.378644 0.738832
13685.805352 0.184009 0.009555 -0.044065 -0.432901 0.349756 0.381525 0.738042
13685.838916 0.181167 0.029870 -0.050749 -0.433943 0.346418 0.386695 0.736312
13685.873244 0.194262 0.014086 -0.041454 -0.435836 0.340916 0.394159 0.733799
13685.907393 0.198697 0.036605 -0.036593 -0.437418 0.333171 0.401881 0.732225
13685.942405 0.215965 0.051311 -0.044575 -0.438452 0.322683 0.411196 0.731131
13685.972604 0.201475 0.033455 -0.035751 -0.438599 0.312062 0.420446 0.730393
13686.008087 0.218060 0.049176 -0.045826 -0.437255 0.298689 0.430840 0.730732
13686.042345 0.201609 0.030636 -0.040662 -0.433911 0.287775 0.438084 0.732795
13686.071294 0.197391 0.042909 -0.062451 -0.430118 0.283663 0.439980 0.735494
13686.105463 0.209036 0.022600 -0.052587 -0.425737 0.284218 0.438769 0.738546
