# timestamp tx ty tz qx qy qz qw
12604.998758 0.000000 0.000000 0.000000 -0.509236 0.422161 0.331365 0.672797
12605.034129 0.008954 0.003416 -0.017393 -0.505998 0.427492 0.327210 0.673907
12605.064984 0.016691 -0.005463 -0.033381 -0.504114 0.430723 0.324001 0.674811
12605.101067 0.024332 -0.014418 -0.049374 -0.502065 0.434479 0.320146 0.675771
12605.129278 0.017161 0.004489 -0.048313 -0.500737 0.436994 0.317773 0.676254
12605.162958 0.028349 0.003911 -0.065648 -0.500103 0.440663 0.315235 0.675530
12605.196669 0.019908 0.016954 -0.050077 -0.501814 0.441300 0.314366 0.674249
12605.230288 0.011018 0.026335 -0.030627 -0.505712 0.439411 0.315774 0.671908
12605.264490 -0.000570 0.034845 -0.006847 -0.514409 0.431855 0.319738 0.668321
12605.299907 -0.015318 0.045855 0.019607 -0.532249 0.411842 0.328489 0.662716
12605.330080 -0.032913 0.057848 0.055812 -0.551361 0.385858 0.340787 0.656490
12605.364040 -0.062732 0.090396 0.082880 -0.573456 0.353195 0.356643 0.647462
12605.398313 -0.089173 0.118982 0.134604 -0.593644 0.320679 0.372849 0.636974
12605.433037 -0.136101 0.146423 0.190128 -0.610017 0.292386 0.387160 0.626495
12605.462711 -0.212520 0.182039 0.232659 0.620053 -0.273180 -0.397076 -0.619062
12605.495441 -0.297016 0.188353 0.304606 0.627934 -0.259536 -0.404821 -0.611931
12605.529685 -0.330443 0.193175 0.425945 0.634602 -0.251416 -0.409683 -0.605169
12605.564618 -0.361582 0.286973 0.476818 0.639287 -0.247412 -0.412014 -0.600287
12605.599733 -0.409281 0.356732 0.536736 0.642569 -0.244550 -0.412476 -0.597632
12605.628134 -0.377482 0.438195 0.576416 0.644885 -0.244436 -0.411822 -0.595632
12605.666787 -0.364449 0.524068 0.577841 0.647521 -0.242227 -0.409697 -0.595140
12605.699575 -0.309739 0.578230 0.567284 0.649582 -0.239484 -0.407299 -0.595650
12605.729177 -0.276389 0.636177 0.532802 0.651182 -0.237867 -0.404109 -0.596722
12605.764771 -0.254633 0.700580 0.506892 0.653343 -0.239132 -0.397265 -0.598448
12605.797037 -0.232604 0.758401 0.479908 0.654945 -0.239426 -0.392384 -0.599798
12605.828303 -0.178286 0.764622 0.450124 0.655990 -0.239775 -0.387440 -0.601727
12605.862437 -0.135986 0.795638 0.421053 0.656195 -0.240500 -0.382394 -0.604436
12605.896776 -0.088285 0.814319 0.394543 0.655813 -0.241393 -0.377584 -0.607511
12605.931343 -0.043506 0.818843 0.363391 0.655324 -0.243266 -0.371954 -0.610756
12605.966079 -0.013883 0.844065 0.329205 0.654755 -0.243899 -0.368842 -0.612997
12605.996075 0.016780 0.870334 0.296779 0.654372 -0.243871 -0.367040 -0.614496
12606.030166 0.015584 0.828129 0.326754 0.653546 -0.242494 -0.366961 -0.615966
12606.062203 0.027331 0.875403 0.309175 0.653073 -0.238798 -0.369161 -0.616597
12606.096254 0.037336 0.917581 0.280833 0.653070 -0.231350 -0.374951 -0.615945
12606.130302 0.050518 0.960348 0.249317 0.653136 -0.220543 -0.383242 -0.614736
12606.165403 0.059180 1.011998 0.225144 0.653112 -0.208531 -0.392406 -0.613170
12606.195532 0.031987 1.065244 0.229819 0.652243 -0.198023 -0.399616 -0.612922
12606.229938 0.010747 1.123346 0.236832 0.650247 -0.188307 -0.405808 -0.614035
12606.267945 -0.001006 1.187573 0.240986 0.647803 -0.181594 -0.409729 -0.616034
12606.295665 -0.018042 1.252581 0.254717 0.645443 -0.179243 -0.410543 -0.618652
12606.329420 -0.024230 1.317501 0.249455 0.642739 -0.179548 -0.410378 -0.621481
12606.363065 -0.040034 1.377612 0.253068 0.640372 -0.183546 -0.409144 -0.623567
12606.396464 -0.055453 1.434106 0.265996 0.638275 -0.188406 -0.407807 -0.625142
12606.431084 -0.085742 1.403618 0.304469 0.637216 -0.190498 -0.406632 -0.626351
12606.466713 -0.061669 1.441356 0.269150 0.637316 -0.190086 -0.407721 -0.625667
12606.496321 -0.036997 1.486307 0.242734 0.637503 -0.186693 -0.408993 -0.625668
12606.532539 0.002778 1.511828 0.205814 0.637278 -0.184030 -0.410587 -0.625642
12606.562549 -0.024228 1.564661 0.224671 0.636219 -0.183309 -0.411645 -0.626236
12606.596546 -0.048111 1.519561 0.262099 0.635561 -0.185850 -0.411265 -0.626404
12606.630632 -0.102125 1.496481 0.282740 0.634404 -0.189273 -0.410638 -0.626964
12606.664288 -0.139013 1.462168 0.315272 0.633030 -0.192177 -0.410295 -0.627693
12606.696711 -0.170820 1.420467 0.342577 0.631567 -0.194377 -0.410332 -0.628465
12606.733112 -0.202090 1.374166 0.366287 -0.629671 0.195570 0.410787 0.629699
12606.761192 -0.224307 1.320461 0.388611 -0.628537 0.196060 0.410627 0.630783
